iter	Passed	Remaining
0	75	7480
1	135	6656
2	205	6646
3	281	6764
4	345	6570
5	407	6377
6	474	6308
7	553	6362
8	625	6320
9	698	6283
10	764	6184
11	834	6120
12	900	6026
13	968	5951
14	1070	6068
15	1186	6228
16	1275	6226
17	1383	6300
18	1472	6278
19	1586	6346
20	1677	6310
21	1789	6345
22	1869	6258
23	1969	6236
24	2059	6178
25	2143	6101
26	2231	6034
27	2349	6041
28	2435	5962
29	2526	5895
30	2609	5808
31	2675	5685
32	2744	5571
33	2812	5460
34	2883	5355
35	2947	5240
36	3024	5149
37	3121	5093
38	3221	5038
39	3316	4974
40	3406	4901
41	3490	4820
42	3583	4750
43	3682	4687
44	3754	4588
45	3831	4498
46	3899	4397
47	3972	4303
48	4035	4200
49	4161	4161
50	4293	4125
51	4386	4048
52	4461	3956
53	4530	3859
54	4599	3763
55	4684	3680
56	4771	3599
57	4867	3524
58	4952	3441
59	5053	3368
60	5118	3272
61	5184	3177
62	5259	3088
63	5339	3003
64	5402	2909
65	5469	2817
66	5548	2733
67	5621	2645
68	5690	2556
69	5754	2466
70	5837	2384
71	5894	2292
72	5950	2200
73	6015	2113
74	6080	2026
75	6133	1936
76	6271	1873
77	6335	1786
78	6413	1704
79	6491	1622
80	6566	1540
81	6641	1457
82	6710	1374
83	6810	1297
84	6895	1216
85	6967	1134
86	7046	1052
87	7116	970
88	7183	887
89	7287	809
90	7403	732
91	7474	649
92	7552	568
93	7653	488
94	7763	408
95	7843	326
96	7940	245
97	8018	163
98	8090	81
99	8163	0
